investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV000603,2024-01-01,118636,SIP,2858,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,Verified
INV004770,2024-01-01,102886,LUMPSUM,92031,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,Verified
INV004648,2024-01-01,118634,SIP,17860,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,Pending
INV002432,2024-01-01,101208,SIP,3513,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,Verified
INV002338,2024-01-01,120844,LUMPSUM,292991,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,Verified
INV001041,2024-01-01,101208,SIP,8547,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,Verified
INV001400,2024-01-01,148567,SIP,10696,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified
INV000852,2024-01-01,101208,SIP,15916,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified
INV004915,2024-01-01,120504,SIP,14096,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,Verified
INV002984,2024-01-01,120844,REDEMPTION,230179,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,Verified
INV002782,2024-01-01,102886,LUMPSUM,250209,Punjab,Chandigarh,T30,18-25,Male,3.7,UPI,Verified
INV002316,2024-01-01,118632,SIP,4715,Punjab,Amritsar,B30,26-35,Male,16.7,Cheque,Verified
INV000097,2024-01-01,125498,REDEMPTION,527377,Karnataka,Mysore,B30,18-25,Male,6.0,Net Banking,Verified
INV002139,2024-01-01,125498,REDEMPTION,359482,Haryana,Gurugram,T30,36-45,Female,28.6,Mandate,Verified
INV002219,2024-01-01,101208,REDEMPTION,525983,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,Verified
INV000576,2024-01-01,120841,REDEMPTION,43157,Delhi,New Delhi,T30,46-55,Male,79.7,UPI,Verified
INV002166,2024-01-01,120844,SIP,1139,Haryana,Gurugram,T30,36-45,Male,33.3,Net Banking,Verified
INV000836,2024-01-01,100016,SIP,1139,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,Verified
INV001540,2024-01-01,101207,SIP,16264,Maharashtra,Pune,T30,26-35,Female,17.3,UPI,Verified
INV003664,2024-01-01,125498,SIP,15555,Rajasthan,Udaipur,B30,46-55,Male,29.4,UPI,Verified
INV002966,2024-01-01,149324,SIP,15946,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Mandate,Verified
INV002387,2024-01-01,118634,SIP,2891,Telangana,Hyderabad,T30,26-35,Male,13.1,UPI,Verified
INV000983,2024-01-01,101206,SIP,3538,Telangana,Hyderabad,T30,36-45,Male,33.5,UPI,Verified
INV004128,2024-01-01,119094,REDEMPTION,58934,Haryana,Faridabad,B30,18-25,Male,3.3,UPI,Verified
INV000081,2024-01-01,120844,SIP,1842,Gujarat,Surat,T30,36-45,Male,31.0,Net Banking,Verified
INV004548,2024-01-01,119551,LUMPSUM,564276,Delhi,Noida,T30,36-45,Female,58.1,Cheque,Verified
INV002253,2024-01-01,120844,REDEMPTION,289915,West Bengal,Kolkata,T30,46-55,Male,28.6,Net Banking,Verified
INV002942,2024-01-01,148568,REDEMPTION,233200,Delhi,Noida,T30,36-45,Male,27.8,Cheque,Verified
INV004308,2024-01-01,119599,SIP,25855,Gujarat,Surat,T30,26-35,Female,11.1,Mandate,Verified
INV000488,2024-01-01,148568,REDEMPTION,343317,Karnataka,Mysore,B30,56+,Male,31.4,Cheque,Verified
INV002560,2024-01-02,119120,SIP,6321,Haryana,Faridabad,B30,26-35,Male,6.4,Net Banking,Verified
INV003028,2024-01-02,100033,SIP,25360,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Cheque,Verified
INV002868,2024-01-02,148569,SIP,59797,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Net Banking,Verified
INV001156,2024-01-02,120843,SIP,28986,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,Pending
INV000313,2024-01-02,120843,LUMPSUM,497034,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Net Banking,Verified
INV003926,2024-01-02,118632,SIP,1891,West Bengal,Kolkata,T30,46-55,Male,92.8,UPI,Verified
INV003383,2024-01-02,125497,REDEMPTION,241316,Karnataka,Mysore,B30,18-25,Male,4.6,Net Banking,Verified
INV001017,2024-01-02,118632,REDEMPTION,16893,West Bengal,Kolkata,T30,26-35,Female,19.0,Cheque,Verified
INV003225,2024-01-02,120843,SIP,3346,West Bengal,Kolkata,T30,26-35,Male,9.2,UPI,Verified
INV003892,2024-01-02,102887,SIP,7250,Punjab,Amritsar,B30,46-55,Male,24.4,Mandate,Verified
INV002135,2024-01-02,100016,LUMPSUM,437305,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,Verified
INV002961,2024-01-02,149322,SIP,16811,Gujarat,Ahmedabad,T30,26-35,Male,13.0,Net Banking,Verified
INV000983,2024-01-02,101208,SIP,10547,Telangana,Hyderabad,T30,36-45,Male,33.5,Net Banking,Verified
INV003821,2024-01-02,119092,SIP,7584,Delhi,Noida,T30,18-25,Female,6.4,UPI,Pending
INV002940,2024-01-02,102886,SIP,966,Haryana,Faridabad,B30,26-35,Male,18.3,Cheque,Verified
INV002817,2024-01-02,102886,LUMPSUM,26453,Gujarat,Ahmedabad,T30,26-35,Male,15.8,UPI,Verified
INV001890,2024-01-02,120504,SIP,859,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Mandate,Verified
INV001888,2024-01-02,120505,REDEMPTION,410786,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,Verified
INV000370,2024-01-02,118634,SIP,17394,Delhi,Noida,T30,26-35,Female,12.4,Mandate,Verified
INV002981,2024-01-02,102886,LUMPSUM,100110,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,Verified
INV003027,2024-01-02,148569,LUMPSUM,330642,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,Verified
INV001106,2024-01-02,118636,LUMPSUM,50410,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,Verified
INV003942,2024-01-02,118632,SIP,16594,Haryana,Faridabad,B30,26-35,Female,23.3,Cheque,Verified
INV000339,2024-01-02,101207,REDEMPTION,383487,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,Verified
INV002811,2024-01-02,125497,SIP,2631,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Net Banking,Verified
INV004296,2024-01-02,100025,SIP,879,Telangana,Hyderabad,T30,26-35,Male,18.2,UPI,Verified
INV002976,2024-01-02,119599,LUMPSUM,234926,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,Verified
INV000349,2024-01-02,120505,REDEMPTION,335222,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,Verified
INV002546,2024-01-02,101208,REDEMPTION,22305,Gujarat,Surat,T30,26-35,Male,19.3,UPI,Verified
INV003505,2024-01-02,120843,LUMPSUM,362856,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,Verified
INV000006,2024-01-02,118633,SIP,8594,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Verified
INV000662,2024-01-02,120843,SIP,427,Gujarat,Surat,T30,36-45,Female,20.1,Cheque,Verified
INV001284,2024-01-02,119092,LUMPSUM,6499,West Bengal,Kolkata,T30,36-45,Male,49.0,Cheque,Verified
INV004127,2024-01-02,148568,SIP,4185,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Mandate,Verified
INV003208,2024-01-02,120506,SIP,2506,Madhya Pradesh,Bhopal,B30,46-55,Male,80.0,Mandate,Verified
INV002165,2024-01-02,118634,SIP,2539,Telangana,Hyderabad,T30,46-55,Male,46.2,Net Banking,Verified
INV002621,2024-01-02,148567,SIP,401,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,Pending
INV004502,2024-01-02,148567,SIP,10492,Rajasthan,Udaipur,B30,36-45,Male,59.0,Net Banking,Verified
INV001174,2024-01-02,149323,SIP,977,Maharashtra,Nashik,B30,36-45,Male,12.7,Cheque,Verified
INV004658,2024-01-02,120842,LUMPSUM,17258,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,Verified
INV004656,2024-01-02,120844,LUMPSUM,357937,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,Verified
INV003658,2024-01-02,125498,SIP,12014,West Bengal,Kolkata,T30,26-35,Male,6.3,UPI,Verified
INV003649,2024-01-02,119598,REDEMPTION,483596,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,Verified
INV004582,2024-01-02,149323,LUMPSUM,249744,Tamil Nadu,Chennai,T30,56+,Male,67.1,Net Banking,Verified
INV003232,2024-01-02,120842,SIP,9766,Maharashtra,Pune,T30,36-45,Female,30.9,Mandate,Verified
INV004414,2024-01-02,149324,SIP,14409,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Mandate,Verified
INV001799,2024-01-02,119120,LUMPSUM,116421,Rajasthan,Udaipur,B30,56+,Female,45.2,Cheque,Verified
INV001506,2024-01-02,119552,LUMPSUM,19502,Delhi,Noida,T30,26-35,Female,16.0,UPI,Verified
INV001699,2024-01-02,119095,SIP,1108,Madhya Pradesh,Indore,T30,26-35,Male,24.6,Net Banking,Verified
INV002196,2024-01-02,148569,SIP,1696,Delhi,Gurugram,T30,26-35,Female,23.6,UPI,Verified
INV001328,2024-01-02,120842,REDEMPTION,484947,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Net Banking,Verified
INV004567,2024-01-02,120841,SIP,14130,Telangana,Hyderabad,T30,56+,Male,75.0,Mandate,Verified
INV003865,2024-01-02,149322,SIP,3482,Gujarat,Ahmedabad,T30,18-25,Female,3.3,Cheque,Verified
INV000105,2024-01-02,119093,SIP,5253,Punjab,Chandigarh,T30,56+,Male,41.4,UPI,Verified
INV004514,2024-01-02,148568,SIP,16661,Haryana,Faridabad,B30,46-55,Male,40.1,Mandate,Verified
INV004516,2024-01-02,102885,SIP,1137,Haryana,Gurugram,T30,36-45,Male,14.4,Net Banking,Verified
INV002374,2024-01-02,118634,REDEMPTION,81173,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Net Banking,Verified
INV001727,2024-01-02,119598,SIP,16687,Gujarat,Surat,T30,46-55,Female,74.1,Net Banking,Verified
INV002888,2024-01-03,100025,REDEMPTION,259110,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,Pending
INV001769,2024-01-03,120506,SIP,889,Punjab,Chandigarh,T30,18-25,Male,7.4,Cheque,Pending
INV003609,2024-01-03,120843,SIP,16476,Karnataka,Mysore,B30,26-35,Male,9.2,Net Banking,Verified
INV003571,2024-01-03,149323,SIP,536,Haryana,Faridabad,B30,36-45,Male,53.1,UPI,Verified
INV001367,2024-01-03,118632,SIP,10274,Maharashtra,Nashik,B30,36-45,Male,32.2,Net Banking,Verified
INV003178,2024-01-03,119094,LUMPSUM,118897,Telangana,Hyderabad,T30,46-55,Female,60.9,Cheque,Verified
INV002599,2024-01-03,100025,LUMPSUM,286111,Gujarat,Surat,T30,26-35,Male,11.4,Net Banking,Verified
INV003626,2024-01-03,125497,REDEMPTION,483044,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Net Banking,Verified
INV000690,2024-01-03,148569,LUMPSUM,173646,Delhi,Gurugram,T30,46-55,Male,98.7,UPI,Verified
INV001860,2024-01-03,119092,SIP,1978,Karnataka,Mysore,B30,26-35,Female,9.0,Cheque,Verified
INV002065,2024-01-03,100025,SIP,47647,Rajasthan,Udaipur,B30,46-55,Male,78.6,UPI,Verified
INV002708,2024-01-03,120504,REDEMPTION,205486,Karnataka,Mysore,B30,26-35,Male,14.0,Mandate,Verified
INV004288,2024-01-03,119120,LUMPSUM,95676,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,Verified
INV004581,2024-01-03,120505,SIP,2292,Gujarat,Surat,T30,26-35,Male,14.7,Cheque,Pending
INV002467,2024-01-03,125498,SIP,50948,Punjab,Chandigarh,T30,36-45,Male,12.3,UPI,Verified
INV003670,2024-01-03,120505,SIP,8793,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,Verified
INV004024,2024-01-03,119552,SIP,43121,Telangana,Hyderabad,T30,36-45,Male,23.1,UPI,Verified
INV000747,2024-01-03,120841,LUMPSUM,374549,West Bengal,Kolkata,T30,36-45,Female,40.3,Mandate,Verified
INV002847,2024-01-03,148567,SIP,4736,Haryana,Faridabad,B30,26-35,Male,13.4,Mandate,Verified
INV001508,2024-01-03,120503,SIP,7953,Tamil Nadu,Coimbatore,B30,46-55,Male,63.3,Cheque,Verified
INV004562,2024-01-03,149324,SIP,963,Telangana,Hyderabad,T30,26-35,Female,19.0,Cheque,Pending
INV001350,2024-01-03,125498,LUMPSUM,83480,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Net Banking,Verified
INV002357,2024-01-03,100016,SIP,26713,Delhi,Gurugram,T30,26-35,Male,7.8,UPI,Verified
INV002059,2024-01-03,101208,LUMPSUM,268619,Haryana,Faridabad,B30,46-55,Male,95.1,Net Banking,Verified
INV000595,2024-01-03,102887,LUMPSUM,124825,Gujarat,Surat,T30,18-25,Male,7.6,Cheque,Verified
INV004391,2024-01-03,118636,SIP,484,Maharashtra,Mumbai,T30,26-35,Female,23.3,UPI,Verified
INV004733,2024-01-03,102885,SIP,7080,Telangana,Hyderabad,T30,18-25,Male,5.4,Net Banking,Pending
INV002865,2024-01-03,148569,REDEMPTION,449863,Maharashtra,Pune,T30,18-25,Male,3.3,UPI,Verified
INV000454,2024-01-03,119599,SIP,15910,Uttar Pradesh,Lucknow,T30,18-25,Female,6.6,Net Banking,Verified
INV002414,2024-01-03,120507,LUMPSUM,396379,Gujarat,Surat,T30,26-35,Female,24.1,UPI,Verified
INV000321,2024-01-03,149323,SIP,15782,Maharashtra,Mumbai,T30,26-35,Male,24.2,Cheque,Verified
INV003379,2024-01-03,120841,SIP,1008,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Cheque,Verified
INV004544,2024-01-03,148567,REDEMPTION,410715,Maharashtra,Mumbai,T30,36-45,Male,52.1,Cheque,Verified
INV000527,2024-01-03,119094,LUMPSUM,114021,Telangana,Hyderabad,T30,26-35,Male,12.1,Mandate,Verified
INV004633,2024-01-03,125498,LUMPSUM,296354,Telangana,Hyderabad,T30,18-25,Female,4.9,Net Banking,Verified
INV003737,2024-01-03,119093,LUMPSUM,126721,Punjab,Chandigarh,T30,18-25,Male,4.4,Net Banking,Verified
INV000679,2024-01-03,149323,REDEMPTION,141968,Haryana,Faridabad,B30,46-55,Female,79.1,UPI,Verified
INV004357,2024-01-03,125498,SIP,2459,Delhi,Gurugram,T30,46-55,Female,55.6,Cheque,Verified
INV004941,2024-01-03,120505,LUMPSUM,310085,Maharashtra,Nashik,B30,26-35,Male,11.0,Net Banking,Verified
INV000632,2024-01-03,120844,LUMPSUM,246606,Delhi,Gurugram,T30,36-45,Male,49.1,UPI,Verified
INV000849,2024-01-03,148567,LUMPSUM,254442,Delhi,Gurugram,T30,56+,Female,32.5,Cheque,Verified
INV001167,2024-01-03,118636,SIP,41124,Punjab,Amritsar,B30,36-45,Male,26.7,Net Banking,Verified
INV000007,2024-01-03,119094,SIP,13603,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Mandate,Verified
INV000431,2024-01-03,120504,SIP,23759,Madhya Pradesh,Bhopal,B30,18-25,Female,4.6,Mandate,Verified
INV002417,2024-01-03,120842,SIP,2719,Tamil Nadu,Coimbatore,B30,26-35,Male,16.8,Mandate,Verified
INV000011,2024-01-03,120507,SIP,2230,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,Verified
INV001167,2024-01-03,102886,SIP,8419,Punjab,Amritsar,B30,36-45,Male,26.7,UPI,Verified
INV000954,2024-01-03,148568,SIP,2224,Haryana,Faridabad,B30,26-35,Female,8.3,Cheque,Verified
INV002101,2024-01-03,102887,REDEMPTION,234810,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Mandate,Verified
INV000947,2024-01-03,101208,REDEMPTION,281989,Delhi,Noida,T30,26-35,Male,11.0,UPI,Verified
INV004867,2024-01-03,100033,LUMPSUM,331777,Karnataka,Bangalore,T30,18-25,Male,7.3,Mandate,Verified
INV004125,2024-01-03,100016,SIP,2999,Gujarat,Surat,T30,26-35,Male,9.4,Cheque,Verified
INV001910,2024-01-03,102886,REDEMPTION,502057,Karnataka,Mysore,B30,26-35,Female,15.2,Mandate,Verified
INV001411,2024-01-03,102886,SIP,2998,Delhi,Gurugram,T30,26-35,Female,7.1,Cheque,Verified
INV003326,2024-01-03,125498,SIP,2712,Karnataka,Bangalore,T30,36-45,Male,40.9,Mandate,Verified
INV004173,2024-01-03,120504,SIP,479,West Bengal,Kolkata,T30,26-35,Male,16.9,Mandate,Verified
INV004867,2024-01-03,120506,SIP,3082,Karnataka,Bangalore,T30,18-25,Male,7.3,UPI,Pending
INV001454,2024-01-03,120843,SIP,554,Tamil Nadu,Chennai,T30,26-35,Male,9.3,Net Banking,Verified
INV003100,2024-01-04,149324,LUMPSUM,361700,Telangana,Hyderabad,T30,26-35,Male,16.5,Net Banking,Verified
INV000215,2024-01-04,120505,LUMPSUM,190843,Maharashtra,Nashik,B30,26-35,Female,18.3,Mandate,Verified
INV003191,2024-01-04,119092,LUMPSUM,94475,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Mandate,Verified
INV003946,2024-01-04,120504,LUMPSUM,465127,Karnataka,Mysore,B30,26-35,Female,9.2,Net Banking,Verified
INV000330,2024-01-04,119552,SIP,8747,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Mandate,Verified
INV004797,2024-01-04,125497,LUMPSUM,178854,Gujarat,Ahmedabad,T30,56+,Male,18.9,Net Banking,Verified
INV000330,2024-01-04,120841,LUMPSUM,351770,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Net Banking,Verified
INV001128,2024-01-04,120844,LUMPSUM,168521,West Bengal,Kolkata,T30,36-45,Female,43.2,Cheque,Verified
INV002302,2024-01-04,125498,LUMPSUM,153713,West Bengal,Kolkata,T30,26-35,Male,10.1,UPI,Verified
INV002495,2024-01-04,118636,SIP,2727,Maharashtra,Nashik,B30,26-35,Male,6.6,Net Banking,Verified
INV002158,2024-01-04,120507,LUMPSUM,39096,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Net Banking,Verified
INV000144,2024-01-04,120503,SIP,499,Delhi,Noida,T30,26-35,Male,19.1,Net Banking,Verified
INV004563,2024-01-04,118634,LUMPSUM,38117,Gujarat,Surat,T30,46-55,Female,32.2,Cheque,Verified
INV002912,2024-01-04,149323,REDEMPTION,520148,Maharashtra,Mumbai,T30,26-35,Female,23.6,Net Banking,Verified
INV002343,2024-01-04,119093,SIP,1182,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,Verified
INV000091,2024-01-04,120504,SIP,2368,Haryana,Gurugram,T30,26-35,Male,14.6,Mandate,Verified
INV004688,2024-01-04,120505,LUMPSUM,168104,West Bengal,Kolkata,T30,26-35,Male,20.7,UPI,Verified
INV004321,2024-01-04,120843,SIP,1147,West Bengal,Kolkata,T30,26-35,Male,16.0,Mandate,Verified
INV001579,2024-01-04,125498,SIP,40657,Karnataka,Bangalore,T30,46-55,Male,71.1,UPI,Verified
INV003705,2024-01-04,120506,SIP,57004,Telangana,Hyderabad,T30,26-35,Male,8.0,UPI,Pending
INV000544,2024-01-04,120507,LUMPSUM,295246,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Mandate,Verified
INV001997,2024-01-04,120505,SIP,908,Delhi,New Delhi,T30,56+,Female,24.8,UPI,Verified
INV003707,2024-01-04,120506,SIP,3527,Telangana,Hyderabad,T30,36-45,Female,55.5,Mandate,Verified
INV000372,2024-01-04,148569,LUMPSUM,209421,Gujarat,Surat,T30,36-45,Male,12.4,Cheque,Verified
INV001331,2024-01-04,120841,SIP,568,Gujarat,Ahmedabad,T30,26-35,Male,17.5,Net Banking,Verified
INV002033,2024-01-04,102885,SIP,8905,Gujarat,Ahmedabad,T30,46-55,Male,18.9,UPI,Verified
INV003953,2024-01-04,148569,SIP,58436,Maharashtra,Pune,T30,36-45,Male,17.4,Mandate,Verified
INV003500,2024-01-04,120505,SIP,2007,Maharashtra,Mumbai,T30,26-35,Male,15.5,Mandate,Pending
INV003240,2024-01-04,101206,SIP,6686,Haryana,Gurugram,T30,26-35,Male,21.7,Net Banking,Pending
INV003040,2024-01-04,119598,LUMPSUM,468352,Karnataka,Bangalore,T30,26-35,Female,15.3,Cheque,Verified
INV000663,2024-01-04,148568,SIP,558,Haryana,Gurugram,T30,26-35,Female,13.8,Mandate,Pending
INV003083,2024-01-04,125497,LUMPSUM,201815,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,UPI,Verified
INV004131,2024-01-04,101208,SIP,2343,Uttar Pradesh,Kanpur,B30,26-35,Male,10.3,UPI,Verified
INV001806,2024-01-04,102885,SIP,20256,Telangana,Hyderabad,T30,36-45,Male,32.6,UPI,Verified
INV001190,2024-01-04,118636,SIP,9909,Maharashtra,Mumbai,T30,26-35,Male,15.6,Mandate,Verified
INV004939,2024-01-04,118635,SIP,25211,Punjab,Amritsar,B30,18-25,Male,4.7,Cheque,Verified
INV004896,2024-01-04,148567,LUMPSUM,22023,Uttar Pradesh,Agra,B30,18-25,Female,3.5,Mandate,Verified
INV004682,2024-01-04,120841,SIP,571,Telangana,Hyderabad,T30,26-35,Female,8.7,Mandate,Verified
INV002891,2024-01-04,120842,SIP,2202,Haryana,Faridabad,B30,36-45,Female,56.5,Cheque,Verified
INV002400,2024-01-04,120506,SIP,11693,Punjab,Chandigarh,T30,36-45,Male,15.5,Cheque,Verified
INV004138,2024-01-04,119094,SIP,827,Madhya Pradesh,Indore,T30,36-45,Male,18.2,Mandate,Verified
INV003489,2024-01-04,149323,SIP,11426,Rajasthan,Udaipur,B30,26-35,Male,11.4,UPI,Verified
INV004602,2024-01-04,120504,SIP,28337,Delhi,Noida,T30,26-35,Female,9.4,Cheque,Verified
INV004593,2024-01-04,120506,LUMPSUM,65501,Punjab,Amritsar,B30,26-35,Male,13.7,Net Banking,Verified
INV003394,2024-01-04,149322,SIP,13339,West Bengal,Kolkata,T30,26-35,Male,14.6,Mandate,Verified
INV002056,2024-01-04,119551,SIP,5980,Madhya Pradesh,Bhopal,B30,18-25,Female,3.4,Mandate,Verified
INV004770,2024-01-04,125497,SIP,8263,Gujarat,Surat,T30,18-25,Female,5.2,Net Banking,Verified
INV002862,2024-01-04,119092,SIP,1123,Telangana,Hyderabad,T30,56+,Male,72.7,Mandate,Verified
INV003414,2024-01-04,149322,SIP,2730,Maharashtra,Pune,T30,36-45,Female,20.3,Cheque,Verified
INV000803,2024-01-04,120505,SIP,4906,Karnataka,Mysore,B30,26-35,Female,20.6,Cheque,Verified
INV004353,2024-01-04,120844,LUMPSUM,20266,Uttar Pradesh,Agra,B30,56+,Male,31.2,UPI,Verified
INV001553,2024-01-04,120844,REDEMPTION,125745,Delhi,Noida,T30,26-35,Male,23.5,Cheque,Verified
INV003579,2024-01-04,119599,LUMPSUM,518933,West Bengal,Kolkata,T30,18-25,Male,4.6,Net Banking,Verified
INV003410,2024-01-04,149324,SIP,1826,Madhya Pradesh,Indore,T30,26-35,Male,7.7,UPI,Verified
INV003409,2024-01-04,125497,REDEMPTION,255163,Karnataka,Mysore,B30,46-55,Male,44.2,Net Banking,Verified
INV002554,2024-01-04,102885,SIP,8997,Madhya Pradesh,Bhopal,B30,18-25,Male,5.4,Net Banking,Verified
INV004059,2024-01-04,120843,SIP,7638,Maharashtra,Pune,T30,26-35,Female,17.0,Net Banking,Verified
